gene	cluster
PLAT	83
P2RX4	84
TMEM246	84
KIF20A	85
TSPYL1	85
GTF2H3	86
GTF2H4	86
GTF2H5	86
HEATR5A	86
KIF6	86
DNASE1L2	87
NOSIP	87
PHF13	87
SLC25A21	87
ABCG8	88
AGPAT2	88
AIP	88
ANG	88
ATP6AP1	88
BCAN	88
CACFD1	88
GAD2	88
MAL2	88
NADSYN1	88
PHRF1	88
RAB37	88
SLC23A2	88
TDGF1	88
TMEM159	88
ULK3	88
VARS2	88
VCAN	88
ZNF391	88
NCEH1	89
PCP2	89
TMEM38A	89
PPP1R10	90
RSPH9	90
PPARGC1B	91
ZNF513	91
ARHGEF39	92
TIFA	92
IFIT1	93
IFNA5	93
AMMECR1	94
CLP1	94
HMCN1	94
TSEN54	94
CSGALNACT2	95
SLC8A3	95
MLLT10	96
ZNF526	96
C7orf26	97
INTS8	97
FASTKD5	98
KCNH1	98
SH3D19	99
SH3YL1	99
ITGAV	100
KRT14	100
KRT3	100
E2F8	101
TTC33	101
B4GALT7	102
TMEM192	102
CCNQ	103
EFR3A	103
FBXO31	103
ZCCHC9	103
CEBPA	104
CEBPB	104
DBP	104
HLF	104
RASGRF1	104
AKAP14	105
EFCAB7	105
PRKACG	105
ROPN1L	105
SPA17	105
ABCA13	106
BST2	106
HAGH	106
HARS2	106
LACTB2	106
COMMD1	107
COMMD10	107
AMDHD1	108
KLHL23	108
CAPNS2	109
LIX1L	109
CCR1	110
GNG10	110
LAMTOR4	110
PAG1	110
NT5DC1	111
OTUD5	111
PKLR	111
USPL1	111
IL31RA	112
RET	112
TXNL4A	112
FOSB	113
FOSL1	113
WFDC1	113
EGFL7	114
EGFL8	114
LIME1	114
SLC4A7	114
ACAP2	115
MBOAT7	115
CSRNP1	116
FSBP	116
TCEANC	116
MAL	117
PLP1	117
PTPRN	117
CDYL2	118
MRPS12	118
ZNF616	118
ZSCAN5A	118
DEFA5	119
DTX1	119
TMEM11	120
TMPRSS11A	120
IRS1	121
PELI1	121
ATF6B	122
CANT1	122
MYO9B	122
OXSM	122
RBM33	122
SORCS3	122
TEX15	122
RCOR1	123
TFPT	123
BPNT1	124
CYB5A	124
FAHD1	124
OR10H3	124
UGT1A4	124
ALDH6A1	125
CD6	125
CMSS1	125
GGT1	125
GYG1	125
GYG2	125
GYS2	125
HIBADH	125
PPP1R3C	125
TXNRD2	125
CROCC	126
RNF152	126
CHI3L1	127
CHN1	127
HEMK1	127
MECR	127
MTRF1L	127
C9orf163	128
LRRK1	128
RIMS1	128
DSCAML1	129
MAGI2	129
MAGI3	129
PLCL2	129
SHOC2	129
SLC35F5	129
TTBK1	129
TTBK2	129
RPH3AL	130
TCEA3	130
AMZ2	131
CCN5	131
CTSO	131
ABCB4	132
TESK1	132
BPHL	133
MMUT	133
SETD3	133
GGACT	134
PLAAT5	134
ZNF783	134
GRAMD1A	135
TLR7	135
DIPK1B	136
RBMS2	136
TAF1B	137
TAF1C	137
DAD1	138
F3	138
RAB13	138
ARID5A	139
HMGB4	139
KRTAP12-4	139
DCAKD	140
HCCS	140
SETD5	141
SPAG16	141
CYP51A1	142
HTR3E	142
ZNF420	142
GNPNAT1	143
GPD1	143
STXBP3	144
TMEM97	144
MORC1	145
MORC2	145
LAPTM4B	146
RETREG1	146
SDC4	147
TGFB3	147
EMILIN1	148
LAIR2	148
MTMR9	148
PLAC9	148
RAPGEF5	148
TMEM253	148
AQP5	149
RRAGC	149
UQCR11	149
WNT2	149
PRPSAP1	150
SLC27A4	150
TMBIM4	150
NR2E1	151
TNRC6C	151
VRK3	151
CCNA1	152
CDKN2B	152
TGFB1I1	152
CDK12	153
IPPK	153
RDH5	154
UBE2G1	154
ARSJ	155
NBL1	155
SELENOV	155
ZMIZ2	155
PEX14	156
PNPLA3	156
ADM	157
DPYS	157
CADPS	158
CLIP1	158
HNF1A	159
RHPN2	159
TRMO	159
ERGIC2	160
HSD17B2	160
ACYP2	161
CREBZF	161
FLACC1	161
SULT1B1	161
SULT2B1	161
CD48	162
PRAP1	162
ICAM5	163
KIF18A	163
DMTN	164
PTOV1	164
DIXDC1	165
E4F1	165
KRTAP10-4	165
ULK2	165
ZNF32	165
ZNF625	165
NXPH3	166
PALD1	166
CPPED1	167
SEPSECS	167
AMD1	168
ASTL	168
JMJD8	168
ST6GALNAC5	168
WNT10B	168
FOXA2	169
HOXB13	169
IRF6	170
TLX2	170
ZNF502	170
G6PC	171
KLF15	171
SNX13	171
TDP2	171
NOL9	172
TEX10	172
MAP3K12	173
RGS1	173
ADNP2	174
ESF1	174
ITPKB	174
PDE4D	174
CARS2	175
RGCC	175
HSPB9	176
RFPL2	176
WDR73	176
ZNF507	176
ABHD12B	177
CD58	177
FKBP14	177
FUT9	177
RAB27B	178
SYTL5	178
ACTR8	179
ATOX1	179
CCS	179
DCAF10	179
GGPS1	179
SCRN2	179
TAS2R41	179
TUSC1	179
XYLB	179
CAPN10	180
EBLN2	180
EFNB1	180
FANCC	180
TUSC2	180
ADI1	181
ALDH5A1	181
AMDHD2	181
ARFGAP2	181
GNPDA2	181
KDM3A	181
ARHGAP19	182
RAB40AL	182
RASA3	182
SPTB	182
LRRC7	183
NQO2	183
AGXT2	184
CYP2E1	184
ELOVL3	184
MUC20	184
CHI3L2	185
ETS1	185
RUFY3	186
TRMT9B	186
DKKL1	187
FJX1	187
PIGN	187
HR	188
RARA	188
B3GNT5	189
CBX7	189
ANKRD2	190
CFAP77	190
FCMR	190
HOXC9	190
HOXD1	190
HOXD9	190
TUBA3C	190
ZNF384	190
ZNHIT3	190
ATOH8	191
CYP3A5	191
RAI1	192
TESC	192
FGFR2	193
HOXC6	193
EPHA7	194
ZNF267	194
IVD	195
NUDT13	195
JAKMIP2	196
KIF9	196
CCDC43	197
KLHL2	197
TXNDC12	197
ZNF114	197
AKAP1	198
FARP1	198
TNNI3	198
ACSS3	199
LEFTY2	199
NMT2	200
ODF3L2	200
AP3B1	201
CCDC154	201
GSDMB	202
ORM1	202
HSD3B7	203
ICAM1	203
NAT1	203
EID3	204
NSMCE2	204
NSMCE3	204
ZNF597	204
CDKN2AIPNL	205
PLEKHA8	205
AFG1L	206
BOLA3	206
DDAH1	206
DDAH2	206
GLDC	206
NRGN	206
NUDT6	206
ERAP1	207
HLA-DQB2	207
LITAF	208
REEP6	208
NUBP1	209
RCCD1	209
CCDC141	210
RRAD	210
BCKDK	211
METTL21C	211
NR5A2	211
ARHGEF10L	212
SCN2A	212
ADK	213
BMF	213
NNMT	213
SEC14L4	213
SRD5A3	213
NID2	214
PILRA	214
CEACAM5	215
DISP3	215
MYCBP	215
BMERB1	216
RAPGEF4	216
SLC22A7	216
ALDH3A1	217
PIGR	217
SRF	217
UCP2	217
CA12	218
SMIM40	218
CCN3	219
FBXO21	219
CLASP2	220
SMYD2	220
KCTD21	221
KLHL14	221
GALNT6	222
SLC5A6	222
ABI3BP	223
FZD5	223
UBTD1	223
INO80C	224
WBP2NL	224
C5orf51	225
HAT1	225
ARHGDIB	226
RAC3	226
RHOC	226
RIPOR2	226
SUMO4	226
BAIAP2L1	227
IP6K3	227
EFNB3	228
P2RX7	228
KDM3B	229
LMNB2	229
PRPF39	229
TRNAU1AP	229
MRPS31	230
TRMT10B	230
GTPBP2	231
POLH	231
LMAN2L	232
PLVAP	232
SMPD2	232
AKR1C1	233
AKR1D1	233
GABRA3	234
UGT2B7	234
CD81	235
INO80B	235
TEAD3	236
VGLL2	236
GALK1	237
SPATA13	237
PATL1	238
PHF20	238
BDNF	239
F11R	239
MYLK4	240
SUPT20H	240
TADA1	240
KLHL18	241
SMAP1	241
ARHGAP8	242
PRR5-ARHGAP8	242
BTG2	243
CNOT6L	243
NAGPA	244
ZHX2	244
APLP2	245
NKTR	245
HOXC11	246
MMP1	246
SOX8	246
C19orf25	247
SCFD2	247
USE1	247
CYSRT1	248
FBH1	248
PRR3	248
MED11	249
MED13L	249
MED6	249
ABRAXAS1	250
VIRMA	250
WTAP	250
KATNAL1	251
ZNF69	251
HNF4A	252
PROX1	252
RAPGEF1	253
SLC20A1	253
LRP4	254
ZNF621	254
MMADHC	255
PMFBP1	255
PPWD1	256
PTBP3	256
CIC	257
DCAF8	257
GABPB2	257
GTPBP3	257
PTAFR	257
CREB3L3	258
CREB3L4	258
LRRC4C	258
CRLF3	259
LGALS14	259
TNR	259
BBX	260
SPAG1	260
MAP6	261
RORB	261
TNNI2	261
PLA2G1B	262
SOCS2	262
CACNA1S	263
PDZD3	263
KITLG	264
KLHDC10	264
CNN2	265
ERP44	265
FAM13A	265
MAT1A	265
MAT2B	265
DCP1A	266
PPP1R35	266
ADAM3B	267
KRT9	267
ARL6	268
RREB1	268
TOR1AIP2	268
DYDC1	269
DYDC2	269
NME5	269
IFT43	270
NDUFA3	270
ZMYND10	270
ANXA13	271
APBB1IP	271
PLEKHH1	271
GNAT2	272
UNC119B	272
HEY1	273
HEY2	273
CCM2	274
KRIT1	274
GGT7	275
MALL	275
MS4A12	275
FCN1	276
OASL	276
SEZ6L2	276
SUSD5	276
ROMO1	277
TIMM17A	277
DHRS11	278
GCLC	278
LY6D	279
PKIB	279
BBS12	280
PTPDC1	280
TMED7	281
TMPRSS3	281
C11orf68	282
KCNE3	282
ASPRV1	283
RAB9B	283
MYOM1	284
SYNE1	284
FGF10	285
ITIH2	285
HOOK1	286
TBC1D7	286
GAREM1	287
IGFN1	287
APH1A	288
KLF11	288
THPO	288
YY1AP1	289
ZFAT	289
BORCS8	290
P2RX5	290
ALOX12B	291
GPANK1	291
CDK2AP2	292
MBTPS1	292
ZBED8	292
KLK13	293
SERPINE2	293
CEP41	294
MVB12A	294
MGME1	295
MRPL46	295
MRPL48	295
GSTM2	296
GSTM4	296
METTL6	297
STIM1	297
CUTA	298
PXDNL	298
BTK	299
MPP7	299
SYT1	300
SYT5	300
NCKAP1	301
WASF1	301
GCNT3	302
SNUPN	302
GPR22	303
TFAP2C	303
ZFAND4	303
GNAL	304
SPATA2	304
RAB3GAP1	305
TSEN34	305
ARL6IP6	306
NAA50	306
HIC2	307
PDK2	307
BTBD10	308
LAMA5	308
ABCC5	309
RBP5	309
SERPINA3	309
CASP10	310
CD86	310
MICAL1	311
QRSL1	311
ARR3	312
RNASE6	312
FAM8A1	313
MBTPS2	313
MRPL19	314
MRPS30	314
SEMA3F	315
SLC35G2	315
MAPKAPK5	316
ZNF282	316
EOGT	317
SAMD9	317
AVP	318
DLX2	318
CNKSR1	319
CYTH3	319
BBS1	320
BBS7	320
ARMC5	321
DXO	321
