gene	cluster
ARFGAP3	76
GNPDA2	76
KDM3A	76
CNN2	77
ERP44	77
MAT1A	77
MAT2B	77
PAX6	77
TMEM189	77
AGXT2	78
MUC20	78
NR2E1	79
TNRC6C	79
ADAP2	80
KCTD10	80
MICA	80
B3GNT5	81
CBX7	81
AMD1	82
ASTL	82
EMILIN1	83
MTMR9	83
PLAC9	83
NMT2	84
ODF3L2	84
TMED9	84
ERAP1	85
HLA-DQB2	85
DDX42	86
NOSIP	86
NUBP1	87
RCCD1	87
FZR1	88
HCCS	88
NSDHL	88
RAB14	88
SUPT20H	88
TADA1	88
PLA2G1B	89
SOCS2	89
NBL1	90
ZMIZ2	90
ARHGAP26	91
TULP1	91
BOLA3	92
GLDC	92
NRGN	92
NUDT6	92
CLASP2	93
SMYD2	93
DHX40	94
MAD2L1BP	94
KDM3B	95
LMNB2	95
P2RX4	96
PASK	96
RFPL2	96
WNT4	96
ZNF507	96
PLVAP	97
SMPD2	97
INTS1	98
INTS14	98
CCN3	99
FBXO21	99
ZBTB46	99
FOXA2	100
HOXB13	100
SUGP2	101
TIMM10B	101
ARHGAP8	102
PRR5-ARHGAP8	102
ADAM3B	103
KRT9	103
ATF6B	104
MYO9B	104
RBM33	104
EID3	105
NSMCE2	105
NSMCE3	105
LCN1	106
PECR	106
LSM2	107
ZMAT2	107
FBH1	108
PRR3	108
RORB	109
TNNI2	109
VIRMA	110
WTAP	110
CIC	111
DCAF8	111
GABPB2	111
GTPBP3	111
CRLF3	112
LGALS14	112
TNR	112
FAM3C	113
GCNT2	113
NDUFS7	113
ATOX1	114
CCS	114
GGPS1	114
C9orf163	115
LRRK1	115
HOXC9	116
HOXD1	116
RBBP8	117
RGS17	117
IFT43	118
NDUFA3	118
ZMYND10	118
SOCS3	119
TFR2	119
GBP1	120
TKFC	120
MAL2	121
VARS2	121
AP4S1	122
HLTF	122
TEAD3	122
ACTL6B	123
DPF2	123
MYOM1	124
SYNE1	124
CASP10	125
CD86	125
LY6D	126
PKIB	126
SKIV2L	127
TSSK2	127
ECT2	128
GPSM2	128
ANKRD2	129
FCMR	129
ZNHIT3	129
KLHL36	130
PACRG	130
ARID4B	131
CASP1	131
ARL6IP6	132
NAA50	132
MICAL1	133
QRSL1	133
LITAF	134
REEP6	134
BCKDK	135
NR5A2	135
POMT1	136
TMEM92	136
ACOT13	137
TNN	137
BBS1	138
BBS7	138
