Gene	Ptilde	mean_bg_p	k	m	pk	pstar	z.score	PLEAN
TP53	-1.6649588396031392	-2.644385071813173	89	298	0.245754245754246	0.8239	0.940788388814567	0.9705764247856364
UBR1	-2.8357323111489237	-1.6232640415182793	38	44	0.651348651348651	0.0829	-1.499811036144727	0.8399995821313391
BTK	-0.7482984462843685	-1.1954790081455888	3	12	0.123876123876124	0.7056	0.6312542835342942	0.9513373184675054
CUX1	-1.7238080016312294	-1.4438278146462327	4	26	0.039979600203998	0.2913	-0.3647249431691046	0.8918073157190807
KANSL1	-1.4298079208517327	-1.5015887550419618	1	32	0.00118299881700118	0.4589	0.09117139341980268	0.9203084044152712
LXN	-0.4058770895686123	-1.1954790081455888	12	12	0.925074925074925	0.9129	1.1146271459431212	0.987159326962746
TRIM41	-1.9259743778837106	-1.7061374925598223	1	56	2.12999787000213e-4	0.3292	-0.2641847923474702	0.8999812184953613
HGH1	-1.7812036245612413	-1.4438278146462327	14	26	0.318681318681319	0.2691	-0.4394931456506099	0.8879030234607647
MDFI	-4.793803619009783	-2.399482703665617	177	212	0.709290709290709	0.0229	-2.4220172938877167	0.8310006988128003
DYNC1I1	-2.096559105669903	-1.5886599232358962	21	40	0.328671328671329	0.2243	-0.6371953711507318	0.875736828375897
CDC37	-2.943706493593331	-2.4623437286788143	144	231	0.521478521478521	0.2839	-0.48021605129392064	0.8918073157190807
STK17B	-1.7632682463426665	-1.291617415961887	2	16	0.012719872801272	0.2148	-0.6509488995755723	0.8730436779999583
CUL3	-3.9451139764799135	-4.2354889533024505	337	998	0.283716283716284	0.5415	0.21018629333772343	0.9384568322601221
VTI1B	-3.9767086462413426	-1.7382692301117326	5	59	0.00785992140078599	0.0162	-2.708859396240254	0.7951629079516291
FKBP5	-2.7207475265161403	-2.0692439843480304	62	124	0.368631368631369	0.2191	-0.7087764333771397	0.8748912342808273
RPS7	-1.4062974021097703	-2.1181331630639053	127	132	0.919080919080919	0.768	0.766896005500085	0.9611203167478183
DNM2	-1.0260085908595102	-1.8071681694813038	71	72	0.946053946053946	0.8242	0.909528610664204	0.9705764247856364
CELA2B	-0.7323383570723072	-1.291617415961887	1	16	0.012719872801272	0.7739	0.7718890002714807	0.9615277508393738
HSP90AA1	-4.465127897206831	-2.2732046111833424	41	174	0.123876123876124	0.0279	-2.2447075739533746	0.8374334980295074
SNX2	-1.061933535801768	-1.7210172725492665	1	57	0.001589984100159	0.7848	0.8014973059760243	0.9635465771799091
SNU13	-3.022014095430661	-2.1408971602018587	41	141	0.180819180819181	0.1647	-0.9420762472409993	0.8508504891807739
PIR	-2.0866326929849697	-1.652298861873769	25	47	0.350649350649351	0.2488	-0.5250428374373315	0.8797629009028922
WDR91	-1.4739192675237007	-1.1402321907381439	2	10	0.029559704402956	0.2606	-0.48866444876097875	0.8832760012677482
PTK7	-1.5953657082137218	-1.0723743276648654	5	8	0.245754245754246	0.1831	-0.7730084802005551	0.8588930197889303
DENND11	-0.37145411224028607	-0.9851919470093594	5	6	0.702297702297702	0.8487	0.9389708169268293	0.9771758681592866
AGK	-0.6478042804614687	-1.2687560204343018	1	15	0.016849831501685	0.8133	0.864866297842785	0.9677177316910341
DNPH1	-0.15849775687570586	-1.1169378891946666	2	9	0.247752247752248	0.9876	1.3984448314641698	0.9964889641508086
COPS5	-5.6268318261324435	-3.4736151733238003	285	635	0.35964035964036	0.0571	-1.7568775716106584	0.8399995821313391
AGFG2	-1.1284559449309497	-0.7697753194951323	3	3	0.420579420579421	0.2148	-0.6152881277271346	0.8730436779999583
SNW1	-1.9178909662191035	-1.8283923394302872	24	73	0.20979020979021	0.3879	-0.10319719324770019	0.9095109326234556
APPBP2	-3.394568768122916	-1.9154831012936753	42	88	0.301698301698302	0.0695	-1.6948672939007774	0.8399995821313391
RPL18A	-1.3022811622031356	-2.0763047661140424	47	123	0.308691308691309	0.7972	0.8459626790484512	0.966964608746772
UBE2L6	-0.9320140972765749	-1.3796486732357736	18	22	0.678321678321678	0.6825	0.5873199550215008	0.9483288995803765
RFLNA	-0.7320106571363509	-0.7697753194951323	1	3	0.0660493395066049	0.4227	0.0647822791341148	0.9145313214731601
AGO2	-0.47504311043105896	-1.33203247921665	19	19	0.944055944055944	0.9187	1.1667112421998922	0.9875864620831583
MPRIP	-1.4512429403159994	-1.5585373024672882	4	36	0.034719652803472	0.4847	0.1356709891155847	0.9277167521343104
STUB1	-2.5329051731228076	-1.9962324446950341	56	105	0.395604395604396	0.2492	-0.6034538808645022	0.8798088210528585
HSPA5	-5.756488912937547	-2.5113087346251532	95	250	0.245754245754246	0.0073	-3.1897949490566107	0.7951629079516291
RAP1B	-1.9344808090654202	-1.743006527186495	49	60	0.676323676323676	0.3389	-0.22787256786690377	0.9041762490417625
XIRP2	-1.8085767874664724	-0.6700283970623467	1	2	0.00779992200077999	0.0441	-2.0721462423934405	0.8399995821313391
SCARB1	-1.3470550027319268	-1.1954790081455888	12	12	0.772227772227772	0.3415	-0.21396948799686746	0.9053771710447218
RPL17	-2.291835853815101	-1.9987089431211402	80	104	0.647352647352647	0.318	-0.3239390848376594	0.8971966693412238
RNF141	-1.9780605910244002	-0.8690208007529571	1	4	0.002639973600264	0.0543	-1.7916142665507508	0.8399995821313391
VPS37C	-2.229559003834705	-1.4282411390762555	12	25	0.232767232767233	0.136	-1.0495752086708663	0.8467055553550222
JAK3	-1.2045503460457132	-1.6274323564768498	10	45	0.130869130869131	0.6603	0.5243105875661429	0.9451679446082741
PSMA3	-1.9489942511459244	-2.1595157962547744	124	144	0.782217782217782	0.5241	0.2240506547580867	0.9341074191336054
PHC2	-0.8701248257658954	-1.790306243994991	68	69	0.95004995004995	0.8919	1.0976961447824711	0.9837981689541931
UPK1B	-1.178281460781596	-0.8690208007529571	4	4	0.507492507492508	0.2477	-0.4995995774458174	0.8797629009028922
KEL	-2.38577816268708	-0.8690208007529571	1	4	0.001029989700103	0.0248	-2.45026747676199	0.8374334980295074
WARS	-2.6362953638558877	-1.6830643408691743	2	52	0.001349986500135	0.1215	-1.1678935123108687	0.8467055553550222
CCNC	-1.0442323200258739	-1.6661780301797244	26	49	0.425574425574426	0.7639	0.7527145439842395	0.96015902943195
CEP55	-1.6198317486123366	-1.8449102099703694	5	76	0.021469785302147	0.5422	0.2606727991273542	0.9384568322601221
EFNB2	-1.2774234545040537	-1.6863155347214065	40	53	0.64035964035964	0.6415	0.49402764406321736	0.9451679446082741
SLC25A5	-1.6404398250363073	-1.8651811906479703	8	80	0.043429565704343	0.5438	0.2573774284103011	0.9392238571798491
CUL4A	-2.1427827437065257	-2.2500703663818227	88	166	0.432567432567433	0.4909	0.11316377443281732	0.9277421687155253
FATE1	-1.7277027268839	-1.6830643408691743	6	52	0.040739592604074	0.4143	-0.05469070998474313	0.9145313214731601
DDX1	-2.2406767754353427	-1.94153329709512	76	92	0.705294705294705	0.3142	-0.33878500969050485	0.8971966693412238
CCDC151	-1.6234958754753088	-1.4545809849621736	9	27	0.163836163836164	0.3407	-0.2190857936641287	0.9053771710447218
HNRNPD	-2.4196737754150193	-2.377339127623657	46	209	0.148851148851149	0.4315	-0.04369697090607028	0.915292735264672
S100A10	-1.1954235502068766	-1.4282411390762555	15	25	0.428571428571429	0.5559	0.30494711295808485	0.9396564930662897
ECSIT	-2.1389073174805406	-1.8662852692163996	2	78	0.001619983800162	0.3181	-0.30995190174342646	0.8971966693412238
MTFR1L	-0.6854598185022879	-1.2402066463858694	1	14	0.016369836301637	0.7724	0.7791064269254713	0.9615277508393738
TEAD2	-2.119323914193596	-1.8143921694300973	19	70	0.152847152847153	0.3006	-0.351605046786178	0.8918073157190807
PSD	-0.6893494801501292	-0.9200968300604296	3	5	0.32967032967033	0.5759	0.37626526448625824	0.9421854822252022
TESK2	-1.5323446317134912	-1.7819091315133557	34	65	0.3996003996004	0.5563	0.2955599414050568	0.9396564930662897
PATJ	-1.9138380719121422	-1.0723743276648654	4	8	0.127872127872128	0.1082	-1.2437272090446851	0.8467055553550222
PLK1	-0.8561579045085126	-2.0301638817352012	8	116	0.043959560404396	0.9389	1.2982683271745794	0.990493272724509
TRIP12	-1.5749520399143326	-1.3683864614831442	20	20	0.834165834165834	0.3221	-0.2767725894379228	0.8971966693412238
KIF2A	-1.371996690210458	-1.6465264758926472	3	46	0.016849831501685	0.5675	0.334940025178437	0.9406713427228889
KLC3	-1.3510277258014434	-1.7764969149472603	51	64	0.693306693306693	0.6555	0.5048849048518048	0.9451679446082741
CCDC88B	-0.03948788174548725	-0.4777520258584124	1	1	0.913086913086913	0.9176	0.9480520300841048	0.9875758707743724
KLHL33	-0.8481854545470507	-0.6700283970623467	2	2	0.376623376623377	0.2851	-0.32424399378560126	0.8918073157190807
PRDX2	-0.8169918296406817	-1.89319936301516	25	86	0.237762237762238	0.9259	1.2144956762065426	0.9890269888254167
