Gene	vegas_p	lfdr	Pvalue
RCOR1	4.78999521000479e-4	0.5651308821544461	4.78999521000479e-4
CLK1	5.30999469000531e-4	0.5653713688860555	5.30999469000531e-4
ZNF662	5.45999454000546e-4	0.5654407400586352	5.45999454000546e-4
RPL31P53	5.55999444000556e-4	0.5654869875070216	5.55999444000556e-4
HNRNPA1P22	5.90999409000591e-4	0.5656488535763743	5.90999409000591e-4
MTCO3P1	6.24999375000625e-4	0.5658060949008882	6.24999375000625e-4
BZW1	6.34999365000635e-4	0.5658523423492745	6.34999365000635e-4
MTND4P23	6.42999357000643e-4	0.5658893403079838	6.42999357000643e-4
MIR3135B	6.45999354000646e-4	0.5659032145424996	6.45999354000646e-4
HLA-DQA2	6.54999345000655e-4	0.5659448372460474	6.54999345000655e-4
MTND4LP13	6.5999934000066e-4	0.5659679609702406	6.5999934000066e-4
HLA-DQB3	6.6999933000067e-4	0.5660142084186272	6.6999933000067e-4
RAB6A	6.6999933000067e-4	0.5660142084186272	6.6999933000067e-4
CYP8B1	6.86999313000687e-4	0.5660928290808841	6.86999313000687e-4
ACKR2	6.92999307000693e-4	0.566120577549916	6.92999307000693e-4
HLA-DQB2	6.92999307000693e-4	0.566120577549916	6.92999307000693e-4
AKAP14	7.04999295000705e-4	0.5661760744879797	7.04999295000705e-4
LINC01813	7.11999288000712e-4	0.5662084477018502	7.11999288000712e-4
LINC02265	7.31999268000732e-4	0.5663009425986231	7.31999268000732e-4
RPS2P35	7.54999245000755e-4	0.5664073117299119	7.54999245000755e-4
NKAP	7.72999227000773e-4	0.5664905571370076	7.72999227000773e-4
RN7SL75P	7.90999209000791e-4	0.5665738025441032	7.90999209000791e-4
HSPA1A	8.36999163000837e-4	0.5667865408066808	8.36999163000837e-4
SCARNA18	8.43999156000844e-4	0.5668189140205513	8.43999156000844e-4
MTND5P25	8.82999117000883e-4	0.5669992790692584	8.82999117000883e-4
ZMIZ1-AS1	8.87999112000888e-4	0.5670224027934517	8.87999112000888e-4
STX17	9.28999071000929e-4	0.567212017331836	9.28999071000929e-4
SCARNA17	9.28999071000929e-4	0.567212017331836	9.28999071000929e-4
KRBOX1	9.33999066000934e-4	0.5672351410560292	9.33999066000934e-4
INVS	9.44999055000945e-4	0.5672860132492544	9.44999055000945e-4
ELOCP33	9.50999049000951e-4	0.5673137617182863	9.50999049000951e-4
TMEM167A	9.53999046000954e-4	0.5673276359528022	9.53999046000954e-4
SNORD48	9.64999035000965e-4	0.5673785081460273	9.64999035000965e-4
RNA5SP159	9.85999014000986e-4	0.5674756277876388	9.85999014000986e-4
HSPA1B	0.001019989800102	0.5676328266574197	0.001019989800102
PDS5A	0.001029989700103	0.5676790736895831	0.001029989700103
UPF3AP3	0.001029989700103	0.5676790736895831	0.001029989700103
SNORD52	0.00107899892100108	0.5679057290576328	0.00107899892100108
MRPS30	0.0010979989020011	0.567993599209567	0.0010979989020011
SNHG32	0.00109998900011	0.5680028029147283	0.00109998900011
RNU1-133P	0.001109988900111	0.5680490499468919	0.001109988900111
CASC9	0.00111499888500112	0.568072219871824	0.00111499888500112
RHOXF1P3	0.001149988500115	0.5682340380755461	0.001149988500115
ACAA2	0.00116199883800116	0.5682895828792403	0.00116199883800116
RNU6-420P	0.00118999881000119	0.5684190757347223	0.00118999881000119
RPL7P18	0.001219987800122	0.5685577673006911	0.001219987800122
PLEKHB1	0.00124099875900124	0.5686549377214931	0.00124099875900124
NANOGP5	0.00124799875200125	0.5686873109353637	0.00124799875200125
VWA7	0.001249987500125	0.5686965083971819	0.001249987500125
HIGD1AP6	0.001269987300127	0.568789002461509	0.001269987300127
SNHG22	0.00129998700013	0.5689277435579997	0.00129998700013
GABPB2	0.00132199867800132	0.5690295420534234	0.00132199867800132
UCP3	0.001339986600134	0.569112731686654	0.001339986600134
VARS	0.001349986500135	0.5691589787188176	0.001349986500135
ERP44	0.001379986200138	0.5692977198153083	0.001379986200138
ISG20	0.001389986100139	0.5693439668474718	0.001389986100139
PABPC1P1	0.0013989986010014	0.569385647405999	0.0013989986010014
LSM2	0.00139998600014	0.5693902138796354	0.00139998600014
HSPA1L	0.001409985900141	0.569436460911799	0.001409985900141
LHX8	0.00141199858800141	0.5694457690889014	0.00141199858800141
MLLT11	0.001429985700143	0.5695289549761261	0.001429985700143
KHDRBS2-OT	0.001429985700143	0.5695289549761261	0.001429985700143
DNAJB13	0.001439985600144	0.5695752020082897	0.001439985600144
MRPS30-DT	0.001459985400146	0.5696676960726169	0.001459985400146
NEU1	0.001469985300147	0.5697139431047804	0.001469985300147
TMEM126A	0.00153299846700153	0.5700053632143773	0.00153299846700153
ARHGAP19-SLIT1	0.001559984400156	0.5701301663942526	0.001559984400156
MIR7-2	0.001559984400156	0.5701301663942526	0.001559984400156
AOX2P	0.001569984300157	0.5701764134264161	0.001569984300157
KRT18P25	0.001639983600164	0.5705001426515612	0.001639983600164
CHRNA9	0.001639983600164	0.5705001426515612	0.001639983600164
SLC44A4	0.001649983500165	0.5705463896837247	0.001649983500165
UCP2	0.001659983400166	0.5705926367158882	0.001659983400166
OFD1	0.001679983200168	0.5706851307802154	0.001679983200168
CRMP1	0.00169998300017	0.5707776248445426	0.00169998300017
RNU1-96P	0.00170499829500171	0.5708008193266242	0.00170499829500171
CASP10	0.001729982700173	0.5709163659410333	0.001729982700173
SLIT1	0.001729982700173	0.5709163659410333	0.001729982700173
DET1	0.001729982700173	0.5709163659410333	0.001729982700173
RN7SL383P	0.001779982200178	0.5711476011018511	0.001779982200178
AEN	0.00181399818600181	0.5713049165140366	0.00181399818600181
MIR1179	0.001819981800182	0.5713325892305056	0.001819981800182
NOP56P3	0.00184499815500184	0.5714482836040344	0.00184499815500184
AKR1B10P2	0.001869981300187	0.5715638243913234	0.001869981300187
DCDC2C	0.001879981200188	0.5716100714234869	0.001879981200188
SLIT1-AS1	0.001909980900191	0.5717488125199777	0.001909980900191
CDC42SE1	0.001949980500195	0.5719338006486319	0.001949980500195
RNU7-74P	0.001989980100199	0.5721187887772863	0.001989980100199
RN7SKP243	0.0019999800002	0.5721650358094498	0.0019999800002
ZFYVE16	0.00203699796300204	0.5723362346130543	0.00203699796300204
C2CD3	0.002059979400206	0.5724425180024312	0.002059979400206
RNU6-111P	0.00206599793400207	0.57247035221337494	0.00206599793400207
HSPE1P26	0.002119978800212	0.5727200001954126	0.002119978800212
C1orf56	0.002129978700213	0.5727662472275762	0.002129978700213
ELOCP3	0.00213599786400214	0.5727940843520801	0.00213599786400214
TEFM	0.002149978500215	0.5728587412919034	0.002149978500215
CYP3A7	0.002159978400216	0.572904988324067	0.002159978400216
CYP3A7-CYP3A51P	0.002169978300217	0.5729512353562305	0.002169978300217
CCDC89	0.002169978300217	0.5729512353562305	0.002169978300217
MCHR1	0.002179978200218	0.5729974823883941	0.002179978200218
GAPDHP37	0.002189978100219	0.5730437294205577	0.002189978100219
RPL4P6	0.002229977700223	0.5732287175492119	0.002229977700223
RNU4-14P	0.002239977600224	0.5732749645813755	0.002239977600224
ADGRL3-AS1	0.00228299771700228	0.5734739218433608	0.00228299771700228
KCNE3	0.002369976300237	0.573876175999502	0.002369976300237
OR5T1	0.002379976200238	0.5739224230316655	0.002379976200238
LY6D	0.002439975600244	0.574199905224647	0.002439975600244
RNU6-884P	0.002449975500245	0.5742461522568105	0.002449975500245
SAPCD1	0.002449975500245	0.5742461522568105	0.002449975500245
GML	0.002469975300247	0.5743386463211376	0.002469975300247
CYP3A4	0.00249997500025	0.5744773874176284	0.00249997500025
CREBZF	0.002539974600254	0.5746623755462827	0.002539974600254
RNU6-298P	0.002539974600254	0.5746623755462827	0.002539974600254
LYNX1	0.00255199744800255	0.5747179782049562	0.00255199744800255
ZNHIT1P1	0.002559974400256	0.5747548696106098	0.002559974400256
SAPCD1-AS1	0.002569974300257	0.5748011166427733	0.002569974300257
DDAH2	0.002629973700263	0.5750785988357549	0.002629973700263
BIN2P1	0.002679973200268	0.5753098339965727	0.002679973200268
LIPT2	0.002679973200268	0.5753098339965727	0.002679973200268
EVA1A	0.002689973100269	0.5753560810287363	0.002689973100269
RNU6-850P	0.002719972800272	0.5754948221252271	0.002719972800272
TMEM132C	0.00272299727700272	0.5755088095723644	0.00272299727700272
TMEM132A	0.002729972700273	0.5755410691573906	0.002729972700273
ATAD5	0.002729972700273	0.5755410691573906	0.002729972700273
EGR4	0.002759972400276	0.5756798102538813	0.002759972400276
MRPL48	0.002769972300277	0.5757260572860449	0.002769972300277
MSH5	0.002789972100279	0.5758185513503721	0.002789972100279
CYCSP27	0.002839971600284	0.5760497865111899	0.002839971600284
SUZ12P1	0.002839971600284	0.5760497865111899	0.002839971600284
CLIC1	0.00289997100029	0.5763272687041714	0.00289997100029
CRLF3	0.00289997100029	0.5763272687041714	0.00289997100029
LYNX1-SLURP2	0.002929970700293	0.576466009800662	0.002929970700293
RPL7P24	0.002939970600294	0.5765122568328256	0.002939970600294
RN7SL138P	0.00294999705000295	0.5765586266507368	0.00294999705000295
MSH5-SAPCD1	0.002959970400296	0.5766047508978852	0.002959970400296
VAMP9P	0.002969970300297	0.5766509979922108	0.002969970300297
MPIG6B	0.002979970200298	0.57669724518355725	0.002979970200298
COA4	0.002989970100299	0.5767434924675613	0.002989970100299
RPS27AP9	0.003039969600304	0.5769747301247662	0.003039969600304
SLC15A3	0.003049969500305	0.5770209778731054	0.003049969500305
TFPT	0.003079969200308	0.57715972147339345	0.003079969200308
TMEM109	0.003119968800312	0.5773447136065385	0.003119968800312
KHDRBS2	0.003149968500315	0.5774834580532772	0.003149968500315
CCDC58P5	0.003169968300317	0.5775759544508454	0.003169968300317
KRT42P	0.003179968200318	0.5776222026664642	0.003179968200318
BABAM1	0.003219967800322	0.5778071955393798	0.003219967800322
EVC	0.003229967700323	0.5778534437384053	0.003229967700323
RN7SL25P	0.003229967700323	0.5778534437384053	0.003229967700323
KRT18P50	0.003269967300327	0.5780384363268185	0.003269967300327
KRT17	0.003289967100329	0.5781309324353349	0.003289967100329
KRT16	0.00329996700033	0.5781771804279014	0.00329996700033
RGS17P1	0.003309966900331	0.5782234283735233	0.003309966900331
OR4A11P	0.003319966800332	0.5782696762678387	0.003319966800332
RAB9A	0.003319966800332	0.5782696762678387	0.003319966800332
BNIPL	0.003329966700333	0.578315924106484	0.003329966700333
MED30	0.003329966700333	0.578315924106484	0.003329966700333
PRR3	0.0033989966010034	0.578635173798064	0.0033989966010034
SNAI2	0.00339996600034	0.578639657051794	0.00339996600034
FKBPL	0.003419965800342	0.5787321514293312	0.003419965800342
TRAV7	0.003429965700343	0.5787783984713379	0.003429965700343
NANOGP8	0.003429965700343	0.5787783984713379	0.003429965700343
USHBP1	0.003429965700343	0.5787783984713379	0.003429965700343
TRAPPC2	0.003459965400346	0.5789171389579589	0.003459965400346
ARL5AP4	0.003479965200348	0.5790096320392483	0.003479965200348
SMYD5	0.003519964800352	0.579194616661274	0.003519964800352
RPL13AP	0.00356899643100357	0.5794213682221465	0.00356899643100357
MIR548AQ	0.003569964300357	0.5794258441903568	0.003569964300357
OR10J4	0.003579964200358	0.5794720892194212	0.003579964200358
SNORD32B	0.003579964200358	0.5794720892194212	0.003579964200358
KRT9	0.003579964200358	0.5794720892194212	0.003579964200358
OR2H2	0.003619963800362	0.5796570676010835	0.003619963800362
ADAP2	0.003619963800362	0.5796570676010835	0.003619963800362
GNL1	0.003629963700363	0.5797033117410375	0.003629963700363
MINDY1	0.003639963600364	0.5797495556900821	0.003639963600364
ANKLE1	0.003639963600364	0.5797495556900821	0.003639963600364
PPFIA2-AS1	0.003659963400366	0.5798420429979914	0.003659963400366
PRADC1	0.003669963300367	0.579888286348131	0.003669963300367
KRT18P41	0.003669963300367	0.579888286348131	0.003669963300367
RN7SKP186	0.003689963100369	0.5799807724189674	0.003689963100369
MRTFA	0.00369996300037	0.5800270151309392	0.00369996300037
NECAP1P1	0.003709962900371	0.580073257621463	0.003709962900371
PRRT1	0.003719962800372	0.5801194998861762	0.003719962800372
PLCL1	0.003739962600374	0.5802119837207215	0.003739962600374
FBXO41	0.003769962300377	0.5803507076698964	0.003769962300377
OR10J1	0.003789962100379	0.5804431890500209	0.003789962100379
PCP4	0.00379996200038	0.580489429351198	0.00379996200038
FAM171B	0.003829961700383	0.5806281486468363	0.003829961700383
KRT14	0.003829961700383	0.5806281486468363	0.003829961700383
NOTO	0.003839961600384	0.5806743878615431	0.003839961600384
RN7SL480P	0.003869961300387	0.580813103793069	0.003869961300387
OR10J8P	0.003869961300387	0.580813103793069	0.003869961300387
PRUNE1	0.003879961200388	0.5808593418515043	0.003879961200388
LINC00626	0.003879961200388	0.5808593418515043	0.003879961200388
CCT7	0.003889961100389	0.5809055796099653	0.003889961100389
MCTP1	0.003919960800392	0.5810442910418762	0.003919960800392
DDA1	0.003949960500395	0.5811829996169647	0.003949960500395
TVP23CP2	0.00395699604300396	0.5812155291856826	0.00395699604300396
DIRC3	0.003969960300397	0.581275470355066	0.003969960300397
OR4A12P	0.003979960200398	0.5813217052174416	0.003979960200398
NPPC	0.0039999600004	0.5814141739070295	0.0039999600004
PAAF1	0.004009959900401	0.5814604077255169	0.004009959900401
PAWR	0.004009959900401	0.5814604077255169	0.004009959900401
MRPL34	0.004009959900401	0.5814604077255169	0.004009959900401
RPS10P16	0.004089959100409	0.5818302650661925	0.004089959100409
LY6G6F	0.004149958500415	0.5821076417471303	0.004149958500415
GTF2H4	0.004169958300417	0.5822000973451976	0.004169958300417
ABHD8	0.004189958100419	0.582292551237308	0.004189958100419
PTBP3	0.00419995800042	0.5823387775327229	0.00419995800042
ELF1	0.004259957400426	0.5826161259214038	0.004259957400426
FOXI1	0.00429995700043	0.5828010155903084	0.00429995700043
LINC01960	0.004319956800432	0.5828934575429938	0.004319956800432
RN7SL236P	0.004359956400436	0.5830783355103281	0.004359956400436
MRPL45P1	0.004369956300437	0.5831245537396222	0.004369956300437
LINC01187	0.004409955900441	0.5833094214757637	0.004409955900441
BTF3P7	0.004409955900441	0.5833094214757637	0.004409955900441
C16orf95	0.004409955900441	0.5833094214757637	0.004409955900441
MX2	0.004409955900441	0.5833094214757637	0.004409955900441
RNA5SP212	0.004419955800442	0.5833556370927271	0.004419955800442
GIMD1	0.004439955600444	0.5834480667156301	0.004439955600444
LINC02733	0.004449955500445	0.5834942807128444	0.004449955500445
LINC02747	0.004449955500445	0.5834942807128444	0.004449955500445
LINC00211	0.004479955200448	0.5836329193951871	0.004479955200448
MIR877	0.004479955200448	0.5836329193951871	0.004479955200448
RPL34P20	0.00449995500045	0.5837253423820399	0.00449995500045
DDR1-DT	0.004519954800452	0.5838177630870742	0.004519954800452
ZNF587P1	0.004569954300457	0.5840488046376708	0.004569954300457
MAT2B	0.004629953700463	0.5843260346176423	0.004629953700463
RNU6-1200P	0.00463995360046399	0.584372237444664	0.00463995360046399
MIR4646	0.004649953500465	0.5844184396401553	0.004649953500465
OR8H1	0.004649953500465	0.5844184396401553	0.004649953500465
OR5M6P	0.004649953500465	0.5844184396401553	0.004649953500465
SYTL2	0.004659953400466	0.5844646411997534	0.004659953400466
EFCAB6-AS1	0.004669953300467	0.5845108421190952	0.004669953300467
DDR1	0.00469995300047	0.5846494409919604	0.00469995300047
TWIST1	0.00469995300047	0.5846494409919604	0.00469995300047
IGF2BP2	0.004729952700473	0.58478803394547	0.004729952700473
TCP1P1	0.004749952500475	0.5848804259011107	0.004749952500475
PYHIN5P	0.00475995240047599	0.5849266208618334	0.00475995240047599
RNA5SP224	0.00476995230047699	0.5849728151386748	0.00476995230047699
DNAJC1	0.00476995230047699	0.5849728151386748	0.00476995230047699
PLEKHO1	0.00477995220047799	0.585019008727272	0.00477995220047799
LINC01343	0.004789952100479	0.5850652016232621	0.004789952100479
FRAT2	0.004809951900481	0.5851575853199714	0.004809951900481
SLC4A9	0.004839951600484	0.5852961555614193	0.004839951600484
LINC01691	0.004849951500485	0.5853423442101543	0.004849951500485
SUGT1P3	0.004869951300487	0.5854347193338262	0.004869951300487
ADGRL3	0.00489995100048999	0.5855732765194017	0.00489995100048999
LY6G6E	0.00489995100048999	0.5855732765194017	0.00489995100048999
GPR79	0.00490995090049099	0.585619460763828	0.00490995090049099
MTCYBP40	0.00490995090049099	0.585619460763828	0.00490995090049099
HBEGF	0.00490995090049099	0.585619460763828	0.00490995090049099
OR5M12P	0.004949950500495	0.5858041902047024	0.004949950500495
ANO8	0.004959950400496	0.5858503706589007	0.004959950400496
GCFC2	0.004989950100499	0.5859889073772444	0.004989950100499
OR5AP1P	0.0049999500005	0.5860350847207336	0.0049999500005
PPHLN1	0.0049999500005	0.5860350847207336	0.0049999500005
OR8I1P	0.00500994990050099	0.586081261275639	0.00500994990050099
SERPINE2	0.00502994970050299	0.5861736120022485	0.00502994970050299
OR5AP2	0.00503994960050399	0.5862197861652272	0.00503994960050399
LY6G6D	0.00505994940050599	0.5863121320687201	0.00505994940050599
OR5M7P	0.00505994940050599	0.5863121320687201	0.00505994940050599
LINC01488	0.005119948800512	0.5865891500853752	0.005119948800512
CHMP3	0.00513994860051399	0.5866814827433169	0.00513994860051399
FRAT1	0.00513994860051399	0.5866814827433169	0.00513994860051399
MIR1471	0.00518994810051899	0.5869122994427776	0.00518994810051899
LRRC4	0.00519994800051999	0.5869584601857017	0.00519994800051999
VINAC1P	0.005229947700523	0.5870969371420117	0.005229947700523
GTPBP3	0.005239947600524	0.5871430943554187	0.005239947600524
LY6G6C	0.00527994720052799	0.5873277142325642	0.00527994720052799
PRPF38B	0.00530994690053099	0.5874661695929637	0.00530994690053099
NR2F6	0.00532994670053299	0.5875584685547157	0.00532994670053299
DPT	0.00535994640053599	0.5876969099923194	0.00535994640053599
FUT9	0.00537994620053799	0.5877891995631427	0.00537994620053799
RNU6-1168P	0.00538994610053899	0.5878353429191928	0.00538994610053899
RNU6-1007P	0.00539994600053999	0.5878814853165185	0.00539994600053999
OR10J7P	0.00541994580054199	0.5879737672175461	0.00541994580054199
OR5M3	0.00541994580054199	0.5879737672175461	0.00541994580054199
HCG21	0.00542994570054299	0.5880199067125229	0.00542994570054299
LINC01148	0.00544994550054499	0.5881121827695895	0.00544994550054499
OR8K3	0.00547994520054799	0.588250589457533	0.00547994520054799
MUCL3	0.00550994490055099	0.588388987163587	0.00550994490055099
LINC01997	0.00551994480055199	0.5884351177159375	0.00551994480055199
OR2T4	0.00558994410055899	0.5887580029058211	0.00558994410055899
MIR2052HG	0.00558994410055899	0.5887580029058211	0.00558994410055899
FOXI3	0.00559994400055999	0.588804125212515	0.00559994400055999
OR10J9P	0.00562994370056299	0.5889424858131136	0.00562994370056299
EGOT	0.00563994360056399	0.5889886038922771	0.00563994360056399
FNDC7	0.00565994340056599	0.589080836842874	0.00565994340056599
TPTE2P5	0.00565994340056599	0.589080836842874	0.00565994340056599
OR14C36	0.00569994300056999	0.5892652897909967	0.00569994300056999
SUPT4H1P1	0.00571994280057199	0.589357509718721	0.00571994280057199
OR5T3	0.00581994180058199	0.5898185424979455	0.00581994180058199
PPT2	0.00585994140058599	0.5900029237571044	0.00585994140058599
PRKAG2	0.00588994110058899	0.5901411974972005	0.00588994110058899
HMMR-AS1	0.00590994090059099	0.5902333741136008	0.00590994090059099
TIMM13	0.00591994080059199	0.5902794606456139	0.00591994080059199
PLVAP	0.00592994070059299	0.5903255459876856	0.00592994070059299
PRPF19	0.00593994060059399	0.5903716301354534	0.00593994060059399
SFTA2	0.00595994040059599	0.5904637948306268	0.00595994040059599
VARS2	0.00602993970060299	0.5907863330018581	0.00602993970060299
SDR16C5	0.00602993970060299	0.5907863330018581	0.00602993970060299
OR5M8	0.00604993950060499	0.5908784756891375	0.00604993950060499
OR5AR1	0.00604993950060499	0.5908784756891375	0.00604993950060499
MRPL19	0.00606993930060699	0.5909706133897968	0.00606993930060699
ABCF1	0.00608993910060899	0.5910627460689358	0.00608993910060899
OR4A15	0.00611993880061199	0.5912009355959478	0.00611993880061199
AP3B1	0.00613993860061399	0.5912930555685946	0.00613993860061399
EGFL8	0.00614993850061499	0.591339113628222	0.00614993850061499
RN7SL846P	0.00620993790062099	0.5916154347373984	0.00620993790062099
OR5J1P	0.00624993750062499	0.5917996225392241	0.00624993750062499
MRPS11	0.00625993740062599	0.59184566616582035	0.00625993740062599
MADD	0.00628993710062899	0.5919837889985433	0.00628993710062899
OR5M2P	0.00630993690063099	0.5920758641375115	0.00630993690063099
RPSAP55	0.00638993610063899	0.5924441099410903	0.00638993610063899
TMPRSS9	0.00638993610063899	0.5924441099410903	0.00638993610063899
FHL5	0.00639993600063999	0.592490134434922	0.00639993600063999
MRPL44	0.00640993590064099	0.5925361575294086	0.00640993590064099
ABHD16A	0.00641993580064199	0.5925821792201869	0.00641993580064199
OR8H2	0.00643993560064399	0.5926742183731694	0.00643993560064399
OR4A16	0.00644993550064499	0.5927202358266482	0.00644993550064499
MIR593	0.00645993540064599	0.5927662518589688	0.00645993540064599
OR2AH1P	0.00651993480065199	0.5930423179642625	0.00651993480065199
KRT18P7	0.00651993480065199	0.5930423179642625	0.00651993480065199
MRPL46	0.00652993470065299	0.5930883239263223	0.00652993470065299
TNFRSF10A	0.00653993460065399	0.5931343284323232	0.00653993460065399
TRAV8-1	0.00653993460065399	0.5931343284323232	0.00653993460065399
OR8I4P	0.00654993450065499	0.5931803314779026	0.00654993450065499
IGSF5	0.00656993430065699	0.5932723331703463	0.00656993430065699
LCN9	0.00657993420065799	0.5933183318084853	0.00657993420065799
RPL35AP12	0.00658993410065899	0.5933643289687526	0.00658993410065899
LINC02224	0.00658993410065899	0.5933643289687526	0.00658993410065899
RNU6-97P	0.00661993380066199	0.5935023115386967	0.00661993380066199
GXYLT1	0.00664993350066499	0.5936402806507406	0.00664993350066499
LINC02124	0.00671993280067199	0.5939621555809058	0.00671993280067199
BLM	0.00673993260067399	0.5940541060615734	0.00673993260067399
PRR32	0.00674993250067499	0.5941000789825784	0.00674993250067499
LINC00254	0.00677993220067799	0.5942379884159286	0.00677993220067799
HNRNPA1P12	0.00681993180068199	0.5944218457283066	0.00681993180068199
FXYD6P3	0.00689993100068999	0.5947894841103086	0.00689993100068999
MIR4654	0.00691993080069199	0.5948813776183148	0.00691993080069199
RNU6-211P	0.00692993070069299	0.5949273219351998	0.00692993070069299
OR8I2	0.00696993030069699	0.5951110828534896	0.00696993030069699
RPL23AP62	0.00697993020069799	0.5951570189739368	0.00697993020069799
MIR1252	0.00699993000069999	0.5952488862533429	0.00699993000069999
RBMX2P5	0.00702992970070299	0.5953866747032925	0.00702992970070299
OR8K2P	0.00704992950070499	0.5954785253062557	0.00704992950070499
NPY5R	0.00711992880071199	0.5957999491758206	0.00711992880071199
OR5BE1P	0.00714992850071499	0.5959376766482573	0.00714992850071499
LINC02385	0.00714992850071499	0.5959376766482573	0.00714992850071499
ENPP4	0.00716992830071699	0.5960294863377901	0.00716992830071699
B3GALNT2	0.00719992800071999	0.5961671878467003	0.00719992800071999
OR2M7	0.00719992800071999	0.5961671878467003	0.00719992800071999
C11orf91	0.00724992750072499	0.5963966553363406	0.00724992750072499
FAM8A2P	0.00727992720072799	0.5965343146230454	0.00727992720072799
NR1H4	0.00729992700072999	0.5966260785718558	0.00729992700072999
TSEN15P2	0.00732992670073299	0.5967637110443303	0.00732992670073299
PTMAP1	0.00737992620073799	0.596993062338973	0.00737992620073799
SOHLH1	0.00737992620073799	0.596993062338973	0.00737992620073799
RNU6-687P	0.00738992610073899	0.5970389271347161	0.00738992610073899
HSPA8P17	0.00742992570074299	0.5972223679616506	0.00742992570074299
LINC01423	0.00743992560074399	0.5972682235575617	0.00743992560074399
ODAPH	0.00755992440075599	0.597818344922578	0.00755992440075599
MIR4717	0.00760992390076099	0.598047481610907	0.00760992390076099
PRPF31	0.00760992390076099	0.598047481610907	0.00760992390076099
EMBP1	0.00764992350076499	0.5982307562978216	0.00764992350076499
OR5M9	0.00764992350076499	0.5982307562978216	0.00764992350076499
OR5M4P	0.00765992340076599	0.5982765701187859	0.00765992340076599
MED6	0.00765992340076599	0.5982765701187859	0.00765992340076599
MRPS18B	0.00766992330076699	0.5983223819907191	0.00766992330076699
RNA5SP366	0.00769992300076999	0.598459805868707	0.00769992300076999
OR5M13P	0.00772992270077299	0.5985972120483637	0.00772992270077299
TNXB	0.00780992190078099	0.5989635411064878	0.00780992190078099
MIR548AA2	0.00781992180078199	0.5990093232194468	0.00781992180078199
SLC25A5P4	0.00782992170078299	0.5990551033135737	0.00782992170078299
RNU6-622P	0.00788992110078899	0.5993297412385514	0.00788992110078899
MTCYBP14	0.00789992100078999	0.5993755070786999	0.00789992100078999
ABCA3	0.00789992100078999	0.5993755070786999	0.00789992100078999
DDB2	0.00791992080079199	0.5994670325934351	0.00791992080079199
ACP2	0.00791992080079199	0.5994670325934351	0.00791992080079199
MRPS31	0.00791992080079199	0.5994670325934351	0.00791992080079199
RAB11FIP5	0.00795992040079599	0.5996500588385077	0.00795992040079599
IL15RA	0.00799992000079999	0.5998330518050452	0.00799992000079999
TTL	0.00801991980080199	0.5999245357216114	0.00801991980080199
VPS45	0.00803991960080399	0.6000160112138422	0.00803991960080399
ENPP5	0.00806991930080699	0.6001532085802129	0.00806991930080699
MAGEC3	0.00807991920080799	0.6001989367856931	0.00807991920080799
